variable,source,description,camels,nan_rate
SUBNDO1,FTS,SUB NOTES & DEB MAT OVER 1 YR,UNASSIGNED,0.0032
SUBNDOV5,FTS,SUB NOTES & DEB MAT OVER 5 YR,UNASSIGNED,0.0032
SZ100,FTS,ASSETS UNDER 100M FLAG,UNASSIGNED,0.0
SZ100MP,FTS,ASSETS OVER 100M FLAG,UNASSIGNED,0.0
SZ100T1B,FTS,ASSETS 100M TO 1B FLAG,UNASSIGNED,0.0
SZ100T3,FTS,ASSETS 100M TO 300M FLAG,UNASSIGNED,0.0
SZ100T5,FTS,ASSETS 100M TO 500M FLAG,UNASSIGNED,0.0
SZ10BP,FTS,ASSETS OVER 10B FLAG,UNASSIGNED,0.0
SZ1BP,FTS,ASSETS OVER 1B FLAG,UNASSIGNED,0.0
SZ1BT10B,FTS,ASSETS 1B TO 10B FLAG,UNASSIGNED,0.0
SZ1BT3B,FTS,ASSETS 1B TO 3B FLAG,UNASSIGNED,0.0
SZ1BT5B,FTS,ASSETS 1B TO 5B FLAG,UNASSIGNED,0.0
SZ25,FTS,ASSETS UNDER 25M FLAG,UNASSIGNED,0.0
SZ250BP,FTS,ASSETS OVER 250B FLAG,UNASSIGNED,0.0
SZ25T50,FTS,ASSETS 25M TO 50M FLAG,UNASSIGNED,0.0
SZ300T5,FTS,ASSETS 300M TO 500M FLAG,UNASSIGNED,0.0
SZ3BT10B,FTS,ASSETS 3B TO 10B FLAG,UNASSIGNED,0.0
SZ500T1B,FTS,ASSETS 500M TO 1B FLAG,UNASSIGNED,0.0
SZ50T100,FTS,ASSETS 50M TO 100M FLAG,UNASSIGNED,0.0
SZ5BP,FTS,ASSETS OVER 5B FLAG,UNASSIGNED,0.0
SZAF1250,FTS,ON-BS SEZ EXP AFS SEC-EA 1250%,UNASSIGNED,0.0034
SZAFGU,FTS,ON-BS SEZ EXP AFS SEC-GROSS UP,UNASSIGNED,0.0034
SZAFNRW,FTS,ON-BS SEZ EXP AFS SEC-ADJ COL A,UNASSIGNED,0.0034
SZAFRCR,FTS,ON-BS SZ EXP AFS SEC-RC-R COL A,UNASSIGNED,0.0034
SZAFSSFA,FTS,ON-BS SEZ EXP AFS SEC-SSFA,UNASSIGNED,0.0034
SZAO1250,FTS,ON-BS SEZ EXP ALL OTH-EA 1250%,UNASSIGNED,0.0034
SZAOGU,FTS,ON-BS SEZ EXP ALL OTH-GROSS UP,UNASSIGNED,0.0034
SZAONRW,FTS,ON-BS SEZ EXP ALL OTH-ADJ COL A,UNASSIGNED,0.0034
SZAORCR,FTS,ON-BS SZ EXP ALL OTH-RC-R COL A,UNASSIGNED,0.0034
SZAOSSFA,FTS,ON-BS SEZ EXP ALL OTHER-SSFA,UNASSIGNED,0.0034
SZHA1250,FTS,ON-BS SEZ EXP HTM SEC-EA 1250%,UNASSIGNED,0.0034
SZHAGU,FTS,ON-BS SEZ EXP HTM SEC-GROSS UP,UNASSIGNED,0.0034
SZHANRW,FTS,ON-BS SEZ EXP HTM SEC-ADJ COL A,UNASSIGNED,0.0034
SZHARCR,FTS,ON-BS SEZ EXP HM SEC-RC-R COL A,UNASSIGNED,0.0034
SZHASSFA,FTS,ON-BS SEZ EXP HTM SEC-SSFA,UNASSIGNED,0.0034
SZLNTL,FTS,RE PRIN SEC ASSET SOLD-RES-051,UNASSIGNED,0.3747
SZOF1250,FTS,OFF-BS SECZ EXP-EA 1250%,UNASSIGNED,0.0034
SZOFGU,FTS,OFF-BS SECZ EXP - GROSS UP,UNASSIGNED,0.0034
SZOFNRW,FTS,OFF-BS SECZ EXP -ADJ COL A,UNASSIGNED,0.0034
SZOFRCR,FTS,OFF-BS SECZ EXP-RC-R COL A,UNASSIGNED,0.0034
SZOFSSFA,FTS,OFF-BS SECZ EXP-SSFA,UNASSIGNED,0.0034
SZTA1250,FTS,ON-BS SEZ EXP TRD AST-EA 1250%,UNASSIGNED,0.0034
SZTAGU,FTS,ON-BS SEZ EXP TRD AST-GROSS UP,UNASSIGNED,0.0034
SZTANRW,FTS,ON-BS SEZ EXP TRD AST-ADJ COL A,UNASSIGNED,0.0034
SZTARCR,FTS,ON-BS SZ EXP TRD AST-RC-R COL A,UNASSIGNED,0.0034
SZTASSFA,FTS,ON-BS SEZ EXP TRADE ASSET-SSFA,UNASSIGNED,0.0034
T100ALL,FTS,,UNASSIGNED,0.0132
T100COML,FTS,,UNASSIGNED,0.1386
T10ALL,FTS,,UNASSIGNED,0.0132
T10COML,FTS,,UNASSIGNED,0.1386
T1ADBDED,FTS,RC-R ADDITIONAL T1 CAP BEF DED,UNASSIGNED,0.0032
T1ADCPIN,FTS,RC-R ADD TIER 1 CAP INST & SUR,C,0.0032
T1ADDDED,FTS,RC-R ADDITIONAL T1 CAP DEDUCT,UNASSIGNED,0.0032
T1MIN,FTS,RC-R T1 MIN INT NOT IN CM EQ T1,UNASSIGNED,0.0032
T1NQCPIN,FTS,RC-R NON-QUAL CPT INST PHSE OUT,UNASSIGNED,0.0032
T25ALL,FTS,,UNASSIGNED,0.0132
T25COML,FTS,,UNASSIGNED,0.1386
T2AFSGN,FTS,RC-R AFS UNRL GAIN INCL TIER 2,C,0.4836
T2BEFDED,FTS,RC-R TIER 2 CAPITAL BEF DEDUCT,C,0.0033
T2CAPINS,FTS,RC-R TIER 2 CAP INST & SUR,C,0.0033
T2DED,FTS,RBC TIER 2 CAPITAL DEDUCTIONS,C,0.0033
T2MIN,FTS,RC-R MINORITY INT NOT INCL TIER 1,C,0.0033
T2NQCAP,FTS,RC-R TIER 2 NON QUAL CAP INST,C,0.0033
T50ALL,FTS,,UNASSIGNED,0.0132
T50COML,FTS,,UNASSIGNED,0.1386
TCAMA,FTS,CORP TRUST-MANAGED-AMT,UNASSIGNED,0.0002
TCAMANUM,FTS,CORP TRUST-MANAGED-NUM,UNASSIGNED,0.0002
TCANMA,FTS,CORP TRUST-NON-MANAGED-AMT,UNASSIGNED,0.0002
TCANMNUM,FTS,CORP TRUST-NON-MANAGED-NUM,UNASSIGNED,0.0002
TCSNMA,FTS,CUST AND SAFE ACCT-NON-MAN-AMT,UNASSIGNED,0.0002
TCSNMNUM,FTS,CUST AND SAFE ACCT-NON-MAN-NUM,UNASSIGNED,0.0002
TEBMA,FTS,EMP BENE-DEF BENE-MANAGE-AMT,UNASSIGNED,0.0002
TEBMANUM,FTS,EMP BENE-DEF BENE-MANAGED-NUM,UNASSIGNED,0.0002
TEBNMA,FTS,EMP BENE-DEF BENE-NON-MAN-AMT,UNASSIGNED,0.0002
TEBNMNUM,FTS,EMP BENE-DEF BENE-NON-MAN-NUM,UNASSIGNED,0.0002
TECMA,FTS,EMP BENE-CONTRIB-MANAGED-AMT,UNASSIGNED,0.0002
TECMANUM,FTS,EMP BENE-CONTRI-MANAGED-NUM,UNASSIGNED,0.0002
TECNMA,FTS,EMP BENE-CONTRI-NON-MAN-AMT,UNASSIGNED,0.0002
TECNMNUM,FTS,EMP BENE-CONTRI-NON-MANAGE-NUM,UNASSIGNED,0.0002
TFEMA,FTS,FOUNDATION & ENDOW-MANAGED-AMT,UNASSIGNED,0.0034
TFEMANUM,FTS,FOUNDATION & ENDOW-MANAGED-NUM,UNASSIGNED,0.0034
TFENMA,FTS,FOUNDATION & END-NON-MANAGE-AMT,UNASSIGNED,0.0034
TFENMNUM,FTS,FOUNDATION & END-NON-MANAGE-NUM,UNASSIGNED,0.0034
TICA,FTS,GR.INC-CORP TRUST & AGENCY-YTD,UNASSIGNED,0.0034
TICS,FTS,GR.INC-CUSTODY-YTD,UNASSIGNED,0.0034
TIEB,FTS,GR.INC-EMP. BENEFIT-BENEFIT-YTD,UNASSIGNED,0.0034
TIEC,FTS,GR.INC-EMP. BENEFIT- CONTRI-YTD,UNASSIGNED,0.0034
TIFE,FTS,GR. INC- FOUNDATION & ENDOW-YTD,UNASSIGNED,0.0034
TIMA,FTS,GR.INC - INVESTMENT AGCY - YTD,UNASSIGNED,0.0034
TIMMA,FTS,INVESTMENT AGENCY-MANAGED-AMT,UNASSIGNED,0.0002
TIMMANUM,FTS,INVESTMENT AGENCY-MANAGED-NUM,UNASSIGNED,0.0002
TIMNMA,FTS,INVESTMENT AGCY NON-MANAGED-AMT,UNASSIGNED,0.0034
TIMNMNUM,FTS,INVESTMENT AGCY NON-MANAGED-NUM,UNASSIGNED,0.0034
TIOF,FTS,GR.INC-OTHER FIDUCIARY-YTD,UNASSIGNED,0.0034
TIOR,FTS,GR.INC-OTHER RETIREMENT -YTD,UNASSIGNED,0.0034
TIP,FTS,GR.INC-PERSONAL & AG ACCTS-YTD,UNASSIGNED,0.0034
TIR,FTS,GR.INC-RELATED SERV-YTD,UNASSIGNED,0.0034
TITOT,FTS,TOTAL GROSS FIDUCIARY INC-YTD,UNASSIGNED,0.0032
TOFMA,FTS,OTH FIDUCIARY-MANAGED-AMT,UNASSIGNED,0.0002
TOFMANUM,FTS,OTH FIDUCIARY-MANAGED-NUM,UNASSIGNED,0.0002
TOFNMA,FTS,OTH FIDUCIARY NON-MANAGED-AMT,UNASSIGNED,0.0002
TOFNMNUM,FTS,OTH FIDUCIARY-NON-MANAGED-NUM,UNASSIGNED,0.0002
TORMA,FTS,OTH RETIREMENT-MANAGED-AMT,UNASSIGNED,0.0002
TORMANUM,FTS,OTH RETIREMENT-MANAGED-NUM,UNASSIGNED,0.0002
TORNMA,FTS,OTH RETIREMENT-NON-MAN-AMT,UNASSIGNED,0.0002
TORNMNUM,FTS,OTH RETIREMENT-NON-MAN-NUM,UNASSIGNED,0.0002
TOTCRRES,FTS,ALLOWANCE FOR CREDIT LOSSES,A,0.0032
TPMA,FTS,MANAGED ASSET-PER & AGEN-AMT,UNASSIGNED,0.0002
TPMANUM,FTS,MANAGED ASSET - PER&AGEN-NUM,UNASSIGNED,0.0002
TPNMA,FTS,NON-MANAGED - PER&AGEN-AMT,UNASSIGNED,0.0002
TPNMNUM,FTS,NON-MANAGED ASSET-PER&AGEN-NUM,UNASSIGNED,0.0002
TRACT,FTS,FIDUCIARY OR RELATED ACTIVITY,UNASSIGNED,0.0
TRADE,FTS,TRADING ACCOUNTS,S,0.0
TRADE0,FTS,TRADE ASSETS - 0% RW,UNASSIGNED,0.0034
TRADE100,FTS,TRADE ASSETS - 100% RW,UNASSIGNED,0.0034
TRADE150,FTS,TRADE ASSETS - 150% RW,UNASSIGNED,0.0034
TRADE20,FTS,TRADE ASSETS - 20% RW,UNASSIGNED,0.0034
TRADE2R,FTS,TRADE ASSETS - 2% RW,UNASSIGNED,0.1212
TRADE300,FTS,TRADE ASSETS - 300% RW,UNASSIGNED,0.0034
TRADE400,FTS,TRADE ASSETS - 400% RW,UNASSIGNED,0.0034
TRADE50,FTS,TRADE ASSETS - 50% RW,UNASSIGNED,0.0034
TRADE600,FTS,TRADE ASSETS - 600% RW,UNASSIGNED,0.0034
TRADEL,FTS,TRADING LIABILITIES,S,0.0
TRADENRW,FTS,TRADE ASSETS - ADJ TO COL A,UNASSIGNED,0.0034
TRADEOEA,FTS,TRADE ASSETS-OTH APPR-EXP AMT,UNASSIGNED,0.0034
TRADEORW,FTS,TRADE ASSETS-OTH APPR-RWA AMT,UNASSIGNED,0.0034
TRARERCR,FTS,TRADE ASSETS BS - RC-R COL A,UNASSIGNED,0.0034
TRDOM,FTS,TRADING ASSETS-DOM,S,0.0032
TREXER,FTS,TRUST POWERS EXERCISED,UNASSIGNED,0.0
TRHMA,FTS,"IRA, HSA & OTH - MANAGED -AMT",UNASSIGNED,0.0034
TRHMANUM,FTS,"IRA, HSA & OTH - MANAGED -NUM",UNASSIGNED,0.0034
TRHNMA,FTS,"IRA, HSA & OTH-NON-MANAGED -AMT",UNASSIGNED,0.0034
TRHNMNUM,FTS,"IRA, HSA & OTH-NON-MANAGED -NUM",UNASSIGNED,0.0034
TRN,FTS,TRANSACTION-TOTAL,UNASSIGNED,0.0
TRNCBO,FTS,TRANSACTION-COM BKS& OTHER,UNASSIGNED,0.0
TRNFC,FTS,TRANSACTION-FOR COUNTRY,UNASSIGNED,0.0
TRNFCFG,FTS,TRANSACTION-FOR COUNTRY & GOVT,UNASSIGNED,0.0
TRNFG,FTS,TRANSACTION-FOREIGN GOVERNMENT,S,0.0
TRNINDI,FTS,TTRN ACC-IND-PHF USE-INT,UNASSIGNED,0.1804
TRNINDNI,FTS,TRN ACC-IND-PHF USE-NON INT,UNASSIGNED,0.1804
TRNIPCOC,FTS,TRAN-IPC-OFFICIAL CHECKS,UNASSIGNED,0.0
TRNMUNI,FTS,TRANSACTION-MUNI,UNASSIGNED,0.0032
TRNNOW,FTS,TRANSACTION-NOW ACCOUNTS,UNASSIGNED,0.0032
TRNUSGOV,FTS,TRANSACTION-U.S. GOVERNMENT,UNASSIGNED,0.0032
TRPOWER,FTS,INSTITUTION HAS TRUST POWER,UNASSIGNED,0.0
TS,FTS,TIME & SAVINGS DEPOSITS-TOTAL,L,0.0032
TTLOTBOR,FTS,TT&L & OTHER BORROWINGS,L,0.0033
TTMA,FTS,TOT FIDUCIARY ACCTS-MAN-AMT,UNASSIGNED,0.0002
TTNANUM,FTS,TOT FIDUCIARY ACCTS-MAN-NUM,UNASSIGNED,0.0002
TTNMA,FTS,TOT FIDUCIARY ACCTS-NON-MAN-AMT,UNASSIGNED,0.0002
TTNMNUM,FTS,TOT FIDUCIARY ACCTS-NON-MAN-NUM,UNASSIGNED,0.0002
UC,FTS,UNUSED COMMIT-TOTAL,UNASSIGNED,0.0
UC1L0,FTS,UNUSED COM 1 YR LESS - 0% RW,UNASSIGNED,0.0034
UC1L100,FTS,UNUSED COM 1 YR LESS -100% RW,UNASSIGNED,0.0034
UC1L150,FTS,UNUSED COM 1 YR LESS -150% RW,UNASSIGNED,0.0034
UC1L2,FTS,UNUSED COM 1 YR LESS -2% RW,UNASSIGNED,0.1212
UC1L20,FTS,UNUSED COM 1 YR LESS -20% RW,UNASSIGNED,0.0034
UC1L4,FTS,UNUSED COM 1 YR LESS -4% RW,UNASSIGNED,0.1212
UC1L50,FTS,UNUSED COM 1 YR LESS -50% RW,UNASSIGNED,0.0034
UC1LCEA,FTS,UNUSED COM 1 YR LESS-C.E. AMT,UNASSIGNED,0.0034
UC1LOCE,FTS,UNUSE COM 1 YR LS-OTH AP-CE AMT,UNASSIGNED,0.0034
UC1LORW,FTS,UNUSE COM 1 YR LS-OTH AP-RW AMT,UNASSIGNED,0.0034
UC1LRCR,FTS,UNUSED COM 1 YR LESS-RC-R COL A,UNASSIGNED,0.0034
UCAOTH,FTS,UNUSED COMMIT - ALL OTHER,UNASSIGNED,0.0032
UCCOMRE,FTS,UNUSED COMMIT-COM RE,UNASSIGNED,0.0032
UCCOMREF,FTS,UNUSED COMMIT 1-4 FAM CONSTRUCT,UNASSIGNED,0.0032
UCCOMREO,FTS,UNUSED COMMIT COM RE & OTH CONST,UNASSIGNED,0.0032
UCCOMRES,FTS,UNUSED COMMIT-SECURED COM RE,UNASSIGNED,0.0032
UCCOMREU,FTS,UNUSED COMMIT-UNSECURED COM RE,UNASSIGNED,0.0032
UCCRCD,FTS,UNUSED COMMIT-CREDIT CARD LINES,UNASSIGNED,0.0032
UCCRCR,FTS,UNCOND CANCEL COM-RC-R COL A,UNASSIGNED,0.0034
UCLN,FTS,UNUSED COMMIT-TOTAL LOANS,UNASSIGNED,0.0
UCLNCI,FTS,UNUSED COMMITMENT - C&I LOANS,UNASSIGNED,0.0032
UCLNFI,FTS,UNUSED COMMIT TO FINANCIAL INST,UNASSIGNED,0.1117
UCLOC,FTS,UNUSED COMMIT-HOME EQUITY LINES,C,0.0032
UCOTHER,FTS,UNUSED COMMIT-ALL OTHER,UNASSIGNED,0.0032
UCOV10,FTS,UNUSED COMMIT-OVER 1 YR - 0% RW,UNASSIGNED,0.0034
UCOV1100,FTS,UNUSED COMMIT-OVER 1 YR-100% RW,UNASSIGNED,0.0034
UCOV1150,FTS,UNUSED COMMIT-OVER 1 YR-150% RW,UNASSIGNED,0.0034
UCOV12,FTS,UNUSED COMMIT-OVER 1 YR - 2% RW,UNASSIGNED,0.1212
UCOV120,FTS,UNUSED COMMIT-OVER 1 YR - 20% RW,UNASSIGNED,0.0034
UCOV14,FTS,UNUSED COMMIT-OVER 1 YR - 4% RW,UNASSIGNED,0.1212
UCOV150,FTS,UNUSED COMMIT-OVER 1 YR - 50% RW,UNASSIGNED,0.0034
UCOV1CEA,FTS,UNUSED COMMIT-OVER 1 YR - CE AMT,UNASSIGNED,0.0034
UCOV1OCE,FTS,UNUSE CM-OV 1 YR-OTH APP-CE AMT,UNASSIGNED,0.0034
UCOV1ORW,FTS,UNUSE CM-OV 1 YR-OTH APP-RW AMT,UNASSIGNED,0.0034
UCOV1RCR,FTS,UNUSED COM-OVER 1 YR-RC-R COL A,UNASSIGNED,0.0034
UCOVER1,FTS,UNUSED COM-OVER 1 YR-RC-R COL A,UNASSIGNED,0.0034
UNFCRCD,FTS,UNCOLLECTIBLE CC FEES REVERSED,UNASSIGNED,0.0034
UNINC,FTS,UNEARNED INCOME,E,0.0
UNINCDOM,FTS,UNEARNED INCOME-DOM,E,0.0
UOTBOT13,FTS,UNSEC OTH BOR MAT 1 TO 3 YR,UNASSIGNED,0.0032
UOTBOT1L,FTS,UNSEC OTH BOR MAT 1 YR OR LESS,UNASSIGNED,0.0032
UOTBOT35,FTS,UNSEC OTH BOR MAT 3 TO 5 YR,UNASSIGNED,0.0032
UOTBOTO1,FTS,UNSEC OTH BOR MAT OVER 1 YR,UNASSIGNED,0.0032
UOTBOTO5,FTS,UNSEC OTH BOR MAT OVER 5 YRS,UNASSIGNED,0.0032
UPDDATE,FTS,,UNASSIGNED,0.0
UT0,FTS,UNSETTLED TRANSACT - 0% RW,UNASSIGNED,0.0034
UT100,FTS,UNSETTLED TRANSACT - 100% RW,UNASSIGNED,0.0034
UT1250,FTS,UNSETTLED TRANSACT - 1250% RW,UNASSIGNED,0.0034
UT150,FTS,UNSETTLED TRANSACT - 150% RW,UNASSIGNED,0.0034
UT20,FTS,UNSETTLED TRANSACT - 20% RW,UNASSIGNED,0.0034
UT50,FTS,UNSETTLED TRANSACT - 50% RW,UNASSIGNED,0.0034
UT625,FTS,UNSETTLED TRANSACT - 625% RW,UNASSIGNED,0.0034
UT937,FTS,UNSETTLED TRANSACT - 937% RW,UNASSIGNED,0.0034
UTRCR,FTS,UNSETTLED TRANSACT - RC-R COL A,UNASSIGNED,0.0034
VALACRCD,FTS,SEPARATE VAL ALL UNCOLL CC FEES,S,0.0034
VASTTOT,FTS,TOTAL ASSETS CONSOLIDATED VIE,UNASSIGNED,0.0034
VLIABTOT,FTS,TOTAL LIAB CONSOLIDATED VIE,UNASSIGNED,0.0034
WEBTRANS,FTS,WEBSITE TRANSACTION,UNASSIGNED,0.0034
ASDRTOT,CDI,SOLD W/RECOURSE N/SECUR-TOTAL,UNASSIGNED,0.0026
ASSET2,CDI,TOTAL ASSETS-CAVG2,UNASSIGNED,0.0
ASSET5,CDI,TOTAL ASSETS-CAVG5,UNASSIGNED,0.0
ASSETCP,CDI,TOTAL ASSETS-CP,UNASSIGNED,0.0017
ASSETD2,CDI,TOTAL ASSETS-DOM-CAVG2,UNASSIGNED,0.0
ASSETD5,CDI,TOTAL ASSETS-DOM-CAVG5,UNASSIGNED,0.0
ASSETFW,CDI,TOTAL ASSETS-FOR-W,UNASSIGNED,0.0
ASSETPP,CDI,TOTAL ASSETS-PP,UNASSIGNED,0.0017
ASSETQT,CDI,AVERAGE ASSETS-TANGIBLE-PCA,C,0.0032
ASSTLT,CDI,LONG-TERM ASSETS (5+ YEARS)-QBP,UNASSIGNED,0.0032
AVASSET4,CDI,AVG TOTAL ASSETS-CAVG4,UNASSIGNED,0.0
AVASSETJ,CDI,AVERAGE ASSETS-ADJUSTED-PCA,UNASSIGNED,0.0032
AVASSETP,CDI,AVERAGE ASSETS-ADJUSTED-RBP,UNASSIGNED,0.0032
AVCHBLI4,CDI,AVG.INT.-BEARING BK BAL-CAVG4,UNASSIGNED,0.0
AVDITRN4,CDI,AVG INT BEARING TRAN ACCT-CAVG4,UNASSIGNED,0.0032
AVDNT104,CDI,"AVG NONTR CD GT $250,000-CAVG4",UNASSIGNED,0.0
AVDNTOT4,CDI,"AVG NONTR CD LE $250,000-CAVG4",UNASSIGNED,0.0032
AVFREP4,CDI,AVG FED FUND & REPOS PURCH-CAVG4,UNASSIGNED,0.0
AVFREPO4,CDI,AVG FED FUNDS & REPOS SOLD-CAVG4,UNASSIGNED,0.0
AVLN4,CDI,AVG LOANS-CAVG4,UNASSIGNED,0.0
AVLNAG4,CDI,AVG AGRICULTURAL LOANS-CAVG4,UNASSIGNED,0.0033
AVLNCI4,CDI,AVG C&I LOANS-CAVG4,UNASSIGNED,0.0032
AVLNCO4,CDI,AVG -OTHER LNS TO INDI-CAVG4,UNASSIGNED,0.0032
AVLNCON4,CDI,AVG CONSUMER LOANS-CAVG4,UNASSIGNED,0.0032
AVLNCRC4,CDI,AVG CREDIT CARD LOANS-CAVG4,UNASSIGNED,0.0032
AVLNDOM4,CDI,AVG LOANS-DOME-CAVG4,UNASSIGNED,0.0032
AVLNLS4,CDI,AVG LOANS AND LEASES-CAVG4,UNASSIGNED,0.0
AVLNRE4,CDI,AVG REAL ESTATE LOANS-CAVG4,UNASSIGNED,0.0032
AVLS4,CDI,AVG LEASES-CAVG4,UNASSIGNED,0.0032
AVOTHBO4,CDI,AVG OTHER BORROWED MONEY-CAVG4,L,0.0598
AVSAVDP4,CDI,AVG SAVINGS DEPOSITS -CAVG4,L,0.0032
AVSCMTG4,CDI,AVG MORTGAGE BACK SEC-CAVG4,UNASSIGNED,0.0032
AVSCOTH4,CDI,AVG-ALL OTHER SEC-CAVG4,UNASSIGNED,0.0032
AVSCUST4,CDI,AVG US TREAS (EX:MBS)-CAVG4,UNASSIGNED,0.0032
BKPREM2,CDI,PREMISES AND FIXED ASSETS-CAVG2,UNASSIGNED,0.0032
BKPREM5,CDI,PREMISES AND FIXED ASSETS-CAVG5,UNASSIGNED,0.0032
CHBAL2,CDI,CASH & DUE FROM DEPOS INST-CAVG2,L,0.0
CHBAL5,CDI,CASH & DUE FROM DEPOS INST-CAVG5,L,0.0
CHBALI2,CDI,INT-BEARING CASH & DUE-CAVG2,L,0.0032
CHBALI5,CDI,INT-BEARING CASH & DUE-CAVG5,L,0.0032
CHBALNI2,CDI,NONINT-BEARING CASH & DUE-CAVG2,L,0.0032
CHBALNI5,CDI,NONINT-BEARING CASH & DUE-CAVG5,L,0.0032
CHFL,CDI,NET OPERATING CASH FLOW,L,0.0032
CHFLA,CDI,NET OPERATING CASH FLOW-ANN,L,0.0032
CHFLQ,CDI,NET OPERATING CASH FLOW-QTR,L,0.0032
CHFLQA,CDI,NET OPERATING CASH FLOW-QTR-ANN,L,0.0032
COREDEP,CDI,CORE DEPOSITS,L,0.0032
CRAGSMQ,CDI,AG LOAN RECOVERIES-QTR*SMALL BKS,UNASSIGNED,0.0186
CRAUTOQ,CDI,AUTO LNS - RECOVERIES - QTR,UNASSIGNED,0.0032
CRCIQ,CDI,COMMERCIAL LOAN RECOVERIES-QTR,UNASSIGNED,0.0032
CRCOMREQ,CDI,COMMERCIAL RE LN RECOVERIES-QTR,UNASSIGNED,0.0032
CRCONOTQ,CDI,OTHER CONSUMER LN RECOVERIES-QTR,UNASSIGNED,0.0032
CRCONQ,CDI,CONSUMER LOAN RECOVERIES-QTR,UNASSIGNED,0.0032
CRCRCDQ,CDI,CREDIT CARD LN RECOVERIES-QTR,UNASSIGNED,0.0032
CRLNLSQ,CDI,LN&LS RECOVERIES-QTR,UNASSIGNED,0.0032
CRLSQ,CDI,LEASE RECOVERIES-QTR,UNASSIGNED,0.0032
CROTHQ,CDI,ALL OTHER LN RECOVERIES-QTR,UNASSIGNED,0.0032
CRREAGQ,CDI,FARMLAND RE LN RECOVERIES-QTR,UNASSIGNED,0.0032
CRREAOT,CDI,OTHER RE LOANS RECOVERIES,UNASSIGNED,0.0032
CRREAOTQ,CDI,OTHER RE LOANS RECOVERIES-QTR,UNASSIGNED,0.0032
CRRECNFQ,CDI,1-4 FAM CONST LN RECOVERY-QTR,UNASSIGNED,0.0032
CRRECNOQ,CDI,OTHER CONSTRUCT LN RECOVERIES-QTR,UNASSIGNED,0.0032
CRRECONQ,CDI,CONSTRUCTION RE LN RECOVER-QTR,UNASSIGNED,0.0032
CRRELOCQ,CDI,LINE OF CREDIT RE LN RECOVER-QTR,UNASSIGNED,0.0032
CRREMULQ,CDI,MULTIFAMILY RE LN RECOVERIES-QTR,UNASSIGNED,0.0032
CRRENOTQ,CDI,OTHER NONFARM NONRES RECOV-QTR,UNASSIGNED,0.0032
CRRENOWQ,CDI,OWN OCC NONFRM NONRS RECOV-QTR,UNASSIGNED,0.0032
CRRENRSQ,CDI,NONFARM NONRES RE LN RECOVER-QTR,UNASSIGNED,0.0032
CRREOTHQ,CDI,RESIDENTIAL RE LN RECOVERIES-QTR,UNASSIGNED,0.0032
CRREOTQ,CDI,RE LOANS-OTHER RECOVERIES-QTR,UNASSIGNED,0.0032
CRREQ,CDI,RE LOANS RECOVERIES-QTR,UNASSIGNED,0.0032
CRRERESQ,CDI,RE LOANS 1-4 FAMILY RECOVER-QTR,UNASSIGNED,0.0032
CRRERS2Q,CDI,RE LN 1-4 FAM JR LIEN-RECOV-QTR,UNASSIGNED,0.0032
CRRERSFQ,CDI,RE LN 1-4 FIRST LIEN-RECOV-QTR,UNASSIGNED,0.0032
CRSCAFSQ,CDI,TOT DBT SEC-AFS-NET CHG-OFF-QTR,UNASSIGNED,0.3418
CRSCHTMQ,CDI,TOTAL DEBT SEC-HTM-RECOVER-QTR,UNASSIGNED,0.3418
CRTOTQ,CDI,LOAN & LEASE LOSS RECOVERIES-QTR,UNASSIGNED,0.0032
DEP2,CDI,TOTAL DEPOSITS-CAVG2,L,0.0
DEP5,CDI,TOTAL DEPOSITS-CAVG5,L,0.0
DEPCSBQ,CDI,ESTIMATE DEP ASSESSMENT BASE-QTR,UNASSIGNED,0.0
DEPDOM2,CDI,TOTAL DEPOSITS-DOM-CAVG2,L,0.0
DEPDOM5,CDI,TOTAL DEPOSITS-DOM-CAVG5,L,0.0
DEPFORW,CDI,TOTAL DEPOSITS-FOR-W,L,0.0
DEPI2,CDI,INTEREST-BEARING DEP-CAVG2,UNASSIGNED,0.0032
DEPI5,CDI,INTEREST-BEARING DEP-CAVG5,UNASSIGNED,0.0032
DEPINS,CDI,ESTIMATED INSURED DEPOSITS,L,0.0
DEPLGAMT,CDI,LARGE DEPOSIT ACCOUNTS-AMOUNT,L,0.0
DEPLGNUM,CDI,LARGE DEPOSIT ACCOUNTS-NUMBER,L,0.0
DEPNI2,CDI,NONINTEREST-BEARING DEP-CAVG2,UNASSIGNED,0.0032
DEPNI5,CDI,NONINTEREST-BEARING DEP-CAVG5,UNASSIGNED,0.0032
DEPPREFD,CDI,PREFERRED DEPOSITS,L,0.0039
DEPSMAMT,CDI,SMALL DEPOSIT ACCOUNTS-AMOUNT,L,0.0
DEPSMNUM,CDI,SMALL DEPOSIT ACCOUNTS-NUMBER,L,0.0024
DEPSMRNB,CDI,SMALL DEPOSIT RETIREMENT ACC-NUM,L,0.0024
DEPUNINS,CDI,ESTIMATED UNINSURED DEPOSITS,L,0.0
DRAGSMQ,CDI,AG LOAN CHG-OFFS-QTR*SMALL BKS,UNASSIGNED,0.0186
DRAUTOQ,CDI,AUTO LNS - CHG-OFFS - QTR,UNASSIGNED,0.0032
DRCIQ,CDI,COMMERCIAL LOAN CHG-OFFS-QTR,UNASSIGNED,0.0032
DRCOMREQ,CDI,COMMERCIAL RE LN CHG-OFFS-QTR,UNASSIGNED,0.0032
